customer_id,ages,genders,marital_status,no_of_childrens,education_Level,annual_income,number_of_accounts,total_credit_line
3673356,55,Female,0,3,1,74880.0,4,29952.0
5218481,47,Female,0,2,1,71552.0,3,21465.6
4621200,72,Female,0,4,1,81952.0,5,40976.0
4232602,31,Male,1,1,1,64896.0,3,19468.800000000003
7845877,59,Female,0,2,2,97344.0,3,29203.199999999997
8456723,32,Male,1,1,1,65312.0,3,19593.6
5983254,48,Female,1,4,1,71968.0,6,43180.8
4058587,56,Female,1,1,2,96096.0,3,28828.800000000003
8094285,73,Female,0,3,1,82368.0,4,32947.2
7126905,64,Female,1,2,1,78624.0,4,31449.6
7238258,33,Male,1,2,1,65728.0,4,26291.2
8265043,70,Male,0,3,1,81120.0,4,32448.0
9481220,26,Male,1,2,2,83616.0,4,33446.4
8670207,46,Male,0,2,2,91936.0,3,27580.800000000003
7075963,44,Male,0,1,2,91104.0,2,18220.8
2392882,44,Female,0,3,1,70304.0,4,28121.6
8595404,72,Male,0,3,1,81952.0,4,32780.8
5313924,26,Male,1,0,1,62816.0,2,12563.2
3377059,38,Male,0,0,3,109408.0,1,10940.8
4595070,72,Female,1,3,1,81952.0,5,40976.0
7168235,49,Female,0,2,1,72384.0,3,21715.199999999997
6310907,47,Male,0,4,3,113152.0,5,56576.0
4144403,47,Female,1,1,2,92352.0,3,27705.600000000002
6156414,42,Male,1,1,2,90272.0,3,27081.600000000002
3099354,45,Male,0,1,3,112320.0,2,22464.0
3772173,71,Female,0,1,2,102336.0,2,20467.2
2693166,68,Female,1,1,2,101088.0,3,30326.399999999998
1616837,78,Male,0,1,1,84448.0,2,16889.6
4844128,29,Male,1,0,3,105664.0,2,21132.8
4039932,32,Female,0,0,1,65312.0,1,6531.2
9956736,42,Female,1,0,0,48672.0,2,9734.4
9174401,37,Female,1,0,1,67392.0,2,13478.4
7210186,42,Female,1,1,1,69472.0,3,20841.6
4592920,29,Male,0,1,2,84864.0,2,16972.8
4274212,22,Female,1,2,2,81952.0,4,32780.8
7824068,71,Male,0,1,0,60736.0,2,12147.2
6676317,23,Male,1,2,2,82368.0,4,32947.2
9886958,63,Female,0,2,0,57408.0,3,17222.4
5267840,71,Female,0,1,1,81536.0,2,16307.2
8104523,66,Female,1,3,1,79456.0,5,39728.0
2947107,52,Male,1,0,1,73632.0,2,14726.4
2073451,32,Male,0,0,2,86112.0,1,8611.2
9001274,21,Male,0,0,2,81536.0,1,8153.6
2965659,54,Female,0,3,1,74464.0,4,29785.6
6817367,64,Male,0,3,1,78624.0,4,31449.6
1562747,47,Male,1,1,0,50752.0,3,15225.599999999999
6359169,71,Female,0,3,2,102336.0,4,40934.4
4766555,56,Female,0,2,1,75296.0,3,22588.800000000003
8792722,20,Male,0,1,2,81120.0,2,16224.0
8076207,31,Male,1,1,2,85696.0,3,25708.800000000003
5022142,67,Female,0,1,2,100672.0,2,20134.4
6921836,54,Female,1,3,2,95264.0,5,47632.0
1563624,27,Female,1,1,2,84032.0,3,25209.600000000002
1849220,76,Female,1,0,1,83616.0,2,16723.2
7229904,24,Male,0,0,1,61984.0,1,6198.4
2511803,27,Female,0,1,1,63232.0,2,12646.4
9826570,48,Male,1,3,0,51168.0,5,25584.0
8142839,74,Male,1,2,2,103584.0,4,41433.6
2140168,62,Female,0,2,3,119392.0,3,35817.600000000006
7246563,72,Male,0,4,1,81952.0,5,40976.0
9572313,46,Male,1,1,1,71136.0,3,21340.800000000003
1108930,37,Female,0,0,1,67392.0,1,6739.2
7533099,58,Male,1,2,3,117728.0,4,47091.2
8144747,51,Female,1,0,3,114816.0,2,22963.2
7179969,41,Female,0,1,0,48256.0,2,9651.2
7641129,79,Female,1,4,0,64064.0,6,38438.399999999994
2197696,27,Female,0,1,1,63232.0,2,12646.4
7343385,20,Male,1,1,1,60320.0,3,18096.0
6210618,62,Male,1,1,0,56992.0,3,17097.6
1094392,79,Male,1,3,2,105664.0,5,52832.0
2388333,60,Female,1,3,1,76960.0,5,38480.0
8173844,42,Male,0,2,0,48672.0,3,14601.599999999999
8870448,28,Female,1,1,1,63648.0,3,19094.4
9640552,65,Male,0,2,2,99840.0,3,29952.0
6787841,58,Female,1,1,1,76128.0,3,22838.4
4507106,32,Male,1,3,2,86112.0,5,43056.0
7904010,46,Female,1,1,2,91936.0,3,27580.800000000003
6361648,48,Male,0,3,1,71968.0,4,28787.2
2614711,76,Female,0,1,1,83616.0,2,16723.2
8517932,49,Male,1,1,0,51584.0,3,15475.199999999999
9487136,56,Female,1,3,2,96096.0,5,48048.0
2170313,48,Male,0,4,1,71968.0,5,35984.0
5171751,44,Male,1,1,1,70304.0,3,21091.199999999997
5160690,48,Male,1,2,0,51168.0,4,20467.2
7808477,36,Female,1,0,1,66976.0,2,13395.2
4426746,78,Male,1,3,2,105248.0,5,52624.0
5575430,71,Male,0,1,3,123136.0,2,24627.2
8324620,32,Female,0,2,1,65312.0,3,19593.6
3591209,34,Female,1,0,1,66144.0,2,13228.8
5233117,68,Male,1,2,0,59488.0,4,23795.2
1429811,33,Female,1,0,0,44928.0,2,8985.6
1443305,28,Male,1,0,1,63648.0,2,12729.6
7162496,24,Female,1,2,1,61984.0,4,24793.6
2027264,61,Male,1,0,1,77376.0,2,15475.2
8189536,73,Female,1,2,2,103168.0,4,41267.2
5882409,22,Female,0,0,2,81952.0,1,8195.2
5616205,55,Male,1,2,2,95680.0,4,38272.0
6268747,26,Male,1,0,1,62816.0,2,12563.2
8960374,52,Male,0,3,2,94432.0,4,37772.8
2967428,51,Male,1,3,1,73216.0,5,36608.0
9966937,55,Female,1,1,1,74880.0,3,22464.0
7780350,25,Female,1,1,2,83200.0,3,24960.0
5999065,60,Male,0,2,1,76960.0,3,23088.0
8134952,41,Female,1,1,2,89856.0,3,26956.800000000003
8469786,61,Male,0,2,3,118976.0,3,35692.8
9085036,52,Male,0,0,3,115232.0,1,11523.2
4420830,49,Male,1,3,2,93184.0,5,46592.0
1747857,23,Male,0,0,0,40768.0,1,4076.8
8819614,31,Female,1,0,1,64896.0,2,12979.2
3236705,65,Female,0,4,2,99840.0,5,49920.0
3371717,22,Male,0,1,2,81952.0,2,16390.4
2387251,58,Male,1,1,2,96928.0,3,29078.399999999998
5690926,64,Male,1,2,2,99424.0,4,39769.6
7731561,26,Female,0,2,0,42016.0,3,12604.800000000001
6668369,70,Female,1,2,2,101920.0,4,40768.0
9223728,56,Female,1,1,1,75296.0,3,22588.800000000003
7248729,48,Male,1,1,3,113568.0,3,34070.399999999994
3613312,30,Female,1,3,1,64480.0,5,32240.0
1161176,62,Male,0,2,0,56992.0,3,17097.6
3627286,62,Male,1,4,1,77792.0,6,46675.2
4771884,59,Male,0,2,1,76544.0,3,22963.199999999997
2183597,40,Female,1,0,2,89440.0,2,17888.0
4686252,44,Male,1,1,1,70304.0,3,21091.199999999997
2767546,74,Male,0,2,3,124384.0,3,37315.2
5448013,22,Male,1,1,1,61152.0,3,18345.6
3385864,42,Male,1,1,1,69472.0,3,20841.6
1683255,52,Female,0,3,2,94432.0,4,37772.8
1193182,48,Male,0,3,2,92768.0,4,37107.2
7003085,29,Female,1,0,2,84864.0,2,16972.8
1931288,76,Male,0,2,1,83616.0,3,25084.800000000003
7061536,45,Female,0,4,1,70720.0,5,35360.0
4396589,48,Female,0,2,2,92768.0,3,27830.399999999998
1979200,45,Male,0,1,2,91520.0,2,18304.0
3682537,72,Male,1,1,1,81952.0,3,24585.600000000002
6422187,74,Male,0,0,0,61984.0,1,6198.4
6628202,38,Male,0,0,3,109408.0,1,10940.8
1543694,25,Male,1,0,0,41600.0,2,8320.0
8729290,23,Female,0,1,0,40768.0,2,8153.6
1463367,71,Male,1,1,0,60736.0,3,18220.800000000003
8182965,75,Female,1,2,2,104000.0,4,41600.0
5923617,77,Male,0,2,3,125632.0,3,37689.600000000006
8450817,40,Male,0,3,1,68640.0,4,27456.0
3872128,79,Female,1,1,0,64064.0,3,19219.199999999997
1103361,68,Male,0,1,0,59488.0,2,11897.6
3959156,70,Female,0,2,0,60320.0,3,18096.0
2966935,30,Female,0,0,2,85280.0,1,8528.0
2348706,44,Female,1,1,1,70304.0,3,21091.199999999997
4897702,33,Male,1,1,2,86528.0,3,25958.399999999998
4888412,29,Female,1,3,3,105664.0,5,52832.0
6657153,67,Female,1,3,3,121472.0,5,60736.0
6137726,68,Male,0,0,2,101088.0,1,10108.8
8080012,51,Female,0,4,2,94016.0,5,47008.0
6517505,72,Male,1,1,1,81952.0,3,24585.600000000002
4261832,62,Female,1,4,1,77792.0,6,46675.2
2871782,59,Male,0,1,1,76544.0,2,15308.8
7194216,41,Male,1,2,2,89856.0,4,35942.4
3483169,70,Male,0,0,2,101920.0,1,10192.0
9521315,60,Female,0,2,2,97760.0,3,29328.0
4180155,50,Female,1,3,1,72800.0,5,36400.0
2118348,37,Male,1,0,2,88192.0,2,17638.4
6687246,27,Male,0,0,2,84032.0,1,8403.2
5905146,26,Male,1,3,1,62816.0,5,31408.0
5640362,43,Female,1,2,3,111488.0,4,44595.2
6917550,23,Male,0,2,2,82368.0,3,24710.399999999998
3005173,38,Female,0,0,2,88608.0,1,8860.8
6270118,60,Male,1,2,1,76960.0,4,30784.0
9790744,50,Male,1,1,1,72800.0,3,21840.0
7399410,32,Female,0,0,1,65312.0,1,6531.2
4645670,32,Female,1,1,3,106912.0,3,32073.600000000002
1849129,74,Male,1,2,1,82784.0,4,33113.6
8316572,57,Male,1,4,2,96512.0,6,57907.200000000004
4910978,63,Male,0,3,1,78208.0,4,31283.2
1254154,44,Female,1,4,1,70304.0,6,42182.399999999994
7894944,78,Female,1,2,0,63648.0,4,25459.2
2667599,78,Male,1,1,1,84448.0,3,25334.399999999998
5862582,29,Male,1,1,1,64064.0,3,19219.199999999997
6422890,51,Female,1,2,0,52416.0,4,20966.4
8587174,43,Female,1,1,1,69888.0,3,20966.4
7402864,21,Male,0,0,2,81536.0,1,8153.6
8066526,71,Female,0,1,1,81536.0,2,16307.2
9149069,25,Male,1,0,3,104000.0,2,20800.0
4874080,56,Female,1,2,2,96096.0,4,38438.4
9654036,44,Male,1,2,2,91104.0,4,36441.6
5739779,62,Female,0,0,1,77792.0,1,7779.2
3517504,29,Male,1,0,1,64064.0,2,12812.8
9746360,45,Female,0,2,0,49920.0,3,14976.0
5110158,66,Female,1,1,2,100256.0,3,30076.800000000003
1825659,73,Female,1,1,2,103168.0,3,30950.399999999998
4448324,71,Male,0,0,1,81536.0,1,8153.6
6365849,78,Female,1,2,1,84448.0,4,33779.2
7595935,48,Female,0,1,2,92768.0,2,18553.6
1223511,23,Male,0,0,2,82368.0,1,8236.8
3929427,50,Male,1,4,1,72800.0,6,43680.0
4676656,28,Male,0,3,1,63648.0,4,25459.2
4373522,25,Male,0,0,0,41600.0,1,4160.0
1659260,28,Male,0,0,1,63648.0,1,6364.8
1116893,74,Male,0,2,1,82784.0,3,24835.199999999997
4952339,21,Female,0,2,2,81536.0,3,24460.800000000003
5333420,46,Male,0,4,1,71136.0,5,35568.0
9307913,25,Female,0,1,1,62400.0,2,12480.0
8628053,45,Male,0,1,2,91520.0,2,18304.0
5359543,43,Male,0,1,2,90688.0,2,18137.6
6719272,36,Male,0,0,1,66976.0,1,6697.6
7729653,37,Male,1,1,1,67392.0,3,20217.6
2956636,65,Female,1,2,1,79040.0,4,31616.0
5436190,48,Male,0,1,1,71968.0,2,14393.6
3487902,67,Female,0,2,0,59072.0,3,17721.6
6864557,43,Female,1,0,1,69888.0,2,13977.6
9479482,34,Male,1,2,1,66144.0,4,26457.6
7977683,49,Female,1,3,1,72384.0,5,36192.0
7119845,72,Male,0,3,0,61152.0,4,24460.8
4367743,43,Female,1,3,2,90688.0,5,45344.0
1895204,41,Male,1,3,1,69056.0,5,34528.0
6156923,59,Female,0,3,1,76544.0,4,30617.6
9364786,45,Male,1,0,2,91520.0,2,18304.0
5540926,24,Male,0,1,1,61984.0,2,12396.8
2839568,49,Female,0,1,1,72384.0,2,14476.8
7081371,69,Male,0,1,1,80704.0,2,16140.8
9269149,78,Male,1,0,0,63648.0,2,12729.6
1365266,74,Female,0,4,1,82784.0,5,41392.0
9044127,40,Female,1,1,1,68640.0,3,20592.0
8275689,30,Female,1,1,0,43680.0,3,13104.0
6065973,49,Male,0,4,0,51584.0,5,25792.0
4382751,39,Male,0,1,1,68224.0,2,13644.8
4533753,77,Male,0,1,1,84032.0,2,16806.4
3018732,30,Male,1,3,1,64480.0,5,32240.0
1309780,78,Female,0,2,0,63648.0,3,19094.4
4900645,57,Female,0,0,3,117312.0,1,11731.2
7301835,68,Female,1,1,1,80288.0,3,24086.4
4235819,39,Male,1,1,3,109824.0,3,32947.2
4994806,43,Female,0,1,1,69888.0,2,13977.6
3750527,28,Female,1,3,2,84448.0,5,42224.0
7312624,66,Male,1,1,2,100256.0,3,30076.800000000003
6640846,44,Male,0,4,1,70304.0,5,35152.0
1321642,46,Female,1,1,1,71136.0,3,21340.800000000003
2254665,74,Male,0,2,1,82784.0,3,24835.199999999997
7327245,77,Male,1,2,1,84032.0,4,33612.8
2122902,60,Male,0,2,2,97760.0,3,29328.0
9535424,76,Male,0,3,2,104416.0,4,41766.4
4299292,42,Female,1,4,2,90272.0,6,54163.200000000004
6286521,64,Female,0,4,2,99424.0,5,49712.0
3094820,71,Female,1,4,2,102336.0,6,61401.600000000006
5522223,20,Male,0,1,1,60320.0,2,12064.0
6041263,36,Female,1,0,1,66976.0,2,13395.2
7543590,35,Male,1,0,1,66560.0,2,13312.0
1896167,27,Male,0,1,1,63232.0,2,12646.4
3077432,74,Female,1,2,1,82784.0,4,33113.6
3698530,21,Female,0,1,2,81536.0,2,16307.2
3488374,63,Female,0,2,2,99008.0,3,29702.399999999998
3585808,42,Male,0,0,2,90272.0,1,9027.2
6292664,43,Male,1,1,1,69888.0,3,20966.4
6525504,75,Male,0,1,2,104000.0,2,20800.0
8947362,26,Female,0,0,2,83616.0,1,8361.6
2823708,49,Male,0,2,2,93184.0,3,27955.199999999997
9045286,54,Female,1,1,3,116064.0,3,34819.2
4173914,38,Male,0,1,1,67808.0,2,13561.6
6402076,55,Female,1,2,3,116480.0,4,46592.0
3969448,58,Male,1,1,1,76128.0,3,22838.4
4661949,21,Female,1,1,1,60736.0,3,18220.800000000003
2176222,43,Male,1,0,2,90688.0,2,18137.6
6644024,42,Male,0,1,1,69472.0,2,13894.4
8667844,46,Male,0,2,0,50336.0,3,15100.800000000001
8939642,37,Female,0,0,3,108992.0,1,10899.2
2815096,63,Female,1,2,1,78208.0,4,31283.2
6760119,53,Female,1,1,1,74048.0,3,22214.4
5146713,72,Female,1,2,2,102752.0,4,41100.8
7759389,74,Male,0,1,1,82784.0,2,16556.8
2015958,35,Female,1,0,2,87360.0,2,17472.0
8709261,68,Female,1,0,1,80288.0,2,16057.6
9236927,52,Female,1,2,1,73632.0,4,29452.8
3599767,29,Female,0,1,1,64064.0,2,12812.8
8094519,48,Male,0,2,1,71968.0,3,21590.4
2236715,32,Male,1,0,2,86112.0,2,17222.4
8323938,31,Male,1,2,1,64896.0,4,25958.4
6553714,21,Male,1,2,0,39936.0,4,15974.4
4539082,64,Male,1,2,2,99424.0,4,39769.6
1596834,75,Female,0,1,2,104000.0,2,20800.0
7903322,64,Female,0,3,2,99424.0,4,39769.6
4129655,38,Female,1,0,3,109408.0,2,21881.6
1488443,35,Female,0,1,1,66560.0,2,13312.0
4664592,58,Female,1,0,1,76128.0,2,15225.6
4843643,41,Male,0,1,0,48256.0,2,9651.2
3288027,26,Female,0,0,1,62816.0,1,6281.6
1438574,44,Female,1,2,1,70304.0,4,28121.6
8663048,62,Female,1,1,1,77792.0,3,23337.6
7362677,50,Male,0,1,1,72800.0,2,14560.0
3987690,70,Female,0,4,1,81120.0,5,40560.0
8606060,48,Male,0,3,1,71968.0,4,28787.2
7949433,67,Male,0,4,3,121472.0,5,60736.0
8709735,40,Female,0,0,2,89440.0,1,8944.0
5905126,55,Male,0,1,1,74880.0,2,14976.0
8906838,74,Female,0,2,3,124384.0,3,37315.2
1409957,46,Male,0,1,0,50336.0,2,10067.2
2584927,26,Male,1,1,1,62816.0,3,18844.800000000003
7483489,32,Male,0,3,1,65312.0,4,26124.8
1399960,79,Female,0,1,1,84864.0,2,16972.8
6842325,45,Male,1,4,2,91520.0,6,54912.0
1119756,35,Male,0,0,1,66560.0,1,6656.0
2714416,74,Male,0,4,3,124384.0,5,62192.0
7070501,60,Male,1,3,2,97760.0,5,48880.0
5984708,79,Female,0,1,1,84864.0,2,16972.8
9330164,72,Male,1,4,2,102752.0,6,61651.200000000004
2562730,68,Female,0,1,2,101088.0,2,20217.6
2158024,46,Male,1,1,2,91936.0,3,27580.800000000003
8548045,37,Female,0,0,1,67392.0,1,6739.2
9534251,32,Female,1,0,0,44512.0,2,8902.4
1987701,78,Female,1,3,1,84448.0,5,42224.0
8082000,69,Female,0,3,0,59904.0,4,23961.6
1795146,39,Female,1,3,2,89024.0,5,44512.0
8827100,66,Female,1,2,0,58656.0,4,23462.4
8142999,28,Male,1,2,1,63648.0,4,25459.2
1005830,73,Male,1,2,1,82368.0,4,32947.2
7507890,52,Male,0,4,3,115232.0,5,57616.0
8558515,29,Male,1,0,2,84864.0,2,16972.8
8249746,29,Female,0,0,3,105664.0,1,10566.4
2104457,58,Female,0,2,0,55328.0,3,16598.4
2651849,58,Female,1,1,1,76128.0,3,22838.4
5820157,72,Female,1,1,2,102752.0,3,30825.600000000002
8859693,47,Male,1,1,1,71552.0,3,21465.6
2275367,41,Male,0,2,1,69056.0,3,20716.800000000003
4026340,38,Female,1,0,3,109408.0,2,21881.6
5658336,39,Female,1,2,1,68224.0,4,27289.6
7448447,46,Female,0,2,0,50336.0,3,15100.800000000001
6799941,68,Male,1,3,1,80288.0,5,40144.0
6707321,42,Male,1,1,1,69472.0,3,20841.6
7413337,76,Male,1,3,0,62816.0,5,31408.0
5051604,27,Male,0,0,0,42432.0,1,4243.2
8601193,60,Male,1,3,1,76960.0,5,38480.0
9902652,71,Male,1,1,0,60736.0,3,18220.800000000003
3344296,51,Female,1,1,1,73216.0,3,21964.800000000003
8336703,66,Male,0,0,0,58656.0,1,5865.6
1322407,20,Male,0,2,1,60320.0,3,18096.0
8863900,26,Male,0,1,1,62816.0,2,12563.2
3877505,38,Male,1,1,1,67808.0,3,20342.4
9872145,41,Male,1,4,3,110656.0,6,66393.6
3250458,41,Female,1,0,1,69056.0,2,13811.2
9880570,62,Female,1,2,3,119392.0,4,47756.8
5165708,42,Male,1,2,1,69472.0,4,27788.8
1575697,41,Female,1,3,2,89856.0,5,44928.0
8840340,53,Male,1,2,1,74048.0,4,29619.2
9569962,22,Female,1,0,1,61152.0,2,12230.4
9480102,68,Female,1,2,2,101088.0,4,40435.2
4346823,58,Male,0,2,0,55328.0,3,16598.4
9543239,28,Female,1,0,1,63648.0,2,12729.6
7524932,78,Female,1,3,2,105248.0,5,52624.0
7819521,41,Male,1,3,2,89856.0,5,44928.0
7617621,46,Male,0,2,2,91936.0,3,27580.800000000003
8123532,62,Male,1,2,3,119392.0,4,47756.8
4283177,53,Male,1,1,1,74048.0,3,22214.4
2663009,75,Female,1,0,1,83200.0,2,16640.0
1154640,37,Female,1,1,1,67392.0,3,20217.6
1485728,41,Female,0,0,2,89856.0,1,8985.6
1693608,39,Male,1,3,1,68224.0,5,34112.0
6075107,36,Female,0,1,1,66976.0,2,13395.2
3521830,54,Female,1,4,3,116064.0,6,69638.4
5925514,70,Female,1,0,1,81120.0,2,16224.0
8999970,80,Female,0,2,0,64480.0,3,19344.0
8458831,48,Male,1,1,2,92768.0,3,27830.399999999998
7959283,65,Female,1,4,1,79040.0,6,47424.0
6016292,60,Male,1,2,2,97760.0,4,39104.0
3694693,77,Male,0,1,3,125632.0,2,25126.4
8754098,60,Male,0,4,2,97760.0,5,48880.0
3994352,62,Female,1,0,1,77792.0,2,15558.4
9734614,32,Male,0,1,3,106912.0,2,21382.4
5655022,38,Female,1,0,2,88608.0,2,17721.6
7806994,59,Female,1,1,1,76544.0,3,22963.199999999997
4056118,34,Male,1,1,2,86944.0,3,26083.199999999997
5278989,55,Female,1,1,3,116480.0,3,34944.0
1527799,62,Male,1,2,1,77792.0,4,31116.8
8467728,23,Male,1,1,3,103168.0,3,30950.399999999998
3103487,24,Female,1,1,2,82784.0,3,24835.199999999997
9862257,45,Female,1,1,1,70720.0,3,21216.0
4495381,39,Female,1,3,2,89024.0,5,44512.0
9262468,78,Female,1,3,2,105248.0,5,52624.0
8516625,43,Male,1,2,1,69888.0,4,27955.2
9877817,39,Male,1,3,2,89024.0,5,44512.0
4157077,65,Male,1,2,3,120640.0,4,48256.0
1256864,79,Female,1,1,3,126464.0,3,37939.2
9386944,48,Male,0,1,0,51168.0,2,10233.6
9662260,25,Male,1,0,0,41600.0,2,8320.0
8076562,43,Male,0,4,1,69888.0,5,34944.0
1865282,75,Female,1,1,2,104000.0,3,31200.0
9835070,77,Male,1,1,2,104832.0,3,31449.600000000002
7936261,54,Female,0,2,0,53664.0,3,16099.199999999999
5503247,77,Female,1,1,0,63232.0,3,18969.6
9200395,61,Male,0,1,2,98176.0,2,19635.2
2749691,38,Male,1,1,2,88608.0,3,26582.399999999998
1970815,39,Female,1,2,2,89024.0,4,35609.6
6684890,30,Female,1,0,1,64480.0,2,12896.0
7108965,21,Female,0,0,1,60736.0,1,6073.6
8933000,32,Male,0,1,1,65312.0,2,13062.4
7659792,47,Male,0,1,2,92352.0,2,18470.4
5321940,50,Male,0,4,2,93600.0,5,46800.0
9125993,65,Male,0,1,2,99840.0,2,19968.0
7775956,75,Male,1,2,1,83200.0,4,33280.0
6051648,53,Female,1,2,1,74048.0,4,29619.2
4241320,31,Male,0,1,0,44096.0,2,8819.2
8736474,54,Female,1,2,2,95264.0,4,38105.6
5252096,21,Female,0,0,2,81536.0,1,8153.6
7069927,55,Female,0,2,2,95680.0,3,28704.0
7725860,59,Female,0,1,2,97344.0,2,19468.8
8459803,52,Male,1,1,1,73632.0,3,22089.6
6342152,58,Female,1,2,1,76128.0,4,30451.2
9439879,40,Female,1,2,1,68640.0,4,27456.0
5614136,37,Male,0,0,2,88192.0,1,8819.2
6328163,35,Male,0,0,1,66560.0,1,6656.0
4147695,58,Female,1,3,1,76128.0,5,38064.0
2031800,50,Female,0,4,1,72800.0,5,36400.0
7844249,38,Female,0,2,0,47008.0,3,14102.400000000001
4097125,21,Female,0,1,1,60736.0,2,12147.2
4292368,46,Male,0,1,2,91936.0,2,18387.2
5913862,72,Female,1,1,1,81952.0,3,24585.600000000002
3348766,47,Female,1,2,1,71552.0,4,28620.8
9750382,21,Female,1,0,1,60736.0,2,12147.2
8471984,70,Female,0,3,0,60320.0,4,24128.0
7819055,72,Female,0,3,2,102752.0,4,41100.8
6898777,23,Female,0,0,0,40768.0,1,4076.8
1288416,25,Female,0,0,1,62400.0,1,6240.0
5054781,38,Male,0,0,3,109408.0,1,10940.8
6581684,57,Female,0,1,3,117312.0,2,23462.4
2551160,75,Female,1,0,1,83200.0,2,16640.0
5250694,65,Male,0,2,1,79040.0,3,23712.0
9490287,30,Male,0,2,1,64480.0,3,19344.0
7549870,77,Female,0,2,1,84032.0,3,25209.600000000002
7614729,66,Male,0,2,1,79456.0,3,23836.800000000003
2201303,69,Male,1,1,2,101504.0,3,30451.199999999997
7527882,48,Male,1,3,0,51168.0,5,25584.0
5751991,68,Male,1,1,0,59488.0,3,17846.4
4874107,74,Female,1,4,1,82784.0,6,49670.399999999994
9732112,59,Female,1,4,1,76544.0,6,45926.399999999994
7453089,71,Female,1,1,3,123136.0,3,36940.8
9194441,53,Female,0,0,2,94848.0,1,9484.8
8803743,27,Female,1,1,1,63232.0,3,18969.6
9522799,21,Female,0,0,1,60736.0,1,6073.6
7442206,20,Male,1,1,2,81120.0,3,24336.0
1426754,44,Male,1,0,1,70304.0,2,14060.8
6558200,47,Female,0,3,0,50752.0,4,20300.8
7752509,66,Male,1,0,3,121056.0,2,24211.2
4673345,67,Male,0,2,2,100672.0,3,30201.600000000002
9972251,71,Female,0,1,1,81536.0,2,16307.2
1286849,54,Female,1,3,2,95264.0,5,47632.0
9683850,60,Male,1,4,1,76960.0,6,46176.0
4414320,21,Male,0,0,0,39936.0,1,3993.6
9767662,38,Female,1,3,1,67808.0,5,33904.0
9864544,32,Male,1,1,2,86112.0,3,25833.600000000002
9604737,25,Male,1,3,2,83200.0,5,41600.0
1915040,53,Male,1,2,1,74048.0,4,29619.2
9179030,64,Male,0,1,1,78624.0,2,15724.8
7683412,46,Female,0,3,2,91936.0,4,36774.4
9176072,60,Female,0,0,1,76960.0,1,7696.0
8753538,64,Female,0,3,1,78624.0,4,31449.6
7383259,32,Male,1,0,2,86112.0,2,17222.4
2189633,29,Male,0,0,1,64064.0,1,6406.4
4434605,30,Female,1,3,1,64480.0,5,32240.0
2858261,80,Male,0,2,2,106080.0,3,31824.0
7886228,76,Male,1,1,2,104416.0,3,31324.800000000003
